,1,1378,,CPU,CPU-PC,HP,DX2810,PE 31933,SGH847012Z,,,On Site,1378w0006_1,00-22-64-B7-73-A4,00-23-7D-17-7B-12,,Mark Anthony M. Trinio,150.00 GB,88.5 GB,7.74 GB,1,Windows XP,OR/CR,,0,0,0,0,Ver 4.0,eScan,,,,,,
,1,1378,,Monitor,Monitor-LCD,HP,19'5,PE 51273,3CQ4460DH7,,,On Site,,,,,Ecclesias L. Ardeña,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Keyboard,A4tech, ,Unreadable,Unreadable, ,,On Site, ,,,,Releasing/Supply Officer, , , , , , , ,, , , , , ,,,,,,
,1,1378,,Other Peripherals,Mouse, , ,Unreadable,Unreadable,,,On Site,,,,,Releasing/Supply Officer,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Mouse,A4tech,n/a,CI 22099,N/A,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Mouse,A4tech,n/a,CI 28145,N/A,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1378,,UPS,UPS-PC, , ,Unreadable,Unreadable,,,On Site,,,,,Releasing/Supply Officer,,,,,,,,,,,,,,,,,,,
,1,1378,,CPU,CPU-PC,HP,DX2710,PE 27324,SGH84700C2,39972,,On Site,1378w0051_1,10.13.78.105,00-22-64-BB-0F-4E,,MV Evaluator,2 GB,150.00 GB,126.1 GB,0.8,Windows XP,OR/CR,0,,,1,0,0,Ver 4.0,,,,,,
,1,1378,,Monitor,Monitor-LCD,HP,L1910,PE 26261,CNK8400KCT,,,On Site,,,,,Releasing/Supply Officer,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Keyboard,Genius,,Unreadable,XP18S8305840, ,,On Site, ,,,,Evaluator, , , , , , , ,, , , , , ,,,,,,
,1,1378,,UPS,UPS-PC, , ,Unreadable,Unreadable,,,On Site,,,,,Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,CPU,CPU-PC,HP,Pro3000,PE 35862,SGH033QT7F,39972,,On Site,1378w1278,10.13.78.91,00-24-81-CA-45-CE,,Site Support,150.00 GB,88.5 GB,953.6 GB,1,Windows XP,OR/CR,0,,,1,0,0,Ver 4.0,,,,,,
,1,1378,,Other Peripherals,Keyboard,A4tech,,Unreadable,XP1858305840,,,On Site,,,,,Approving,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Mouse,A4tech,,CI 28170,Unreadable,,,On Site,,,,,Approving,,,,,,,,,,,,,,,,,,,
,1,1378,,UPS,UPS-PC,EATON,5E850i,PE 39441,PA63H20TC1,11/23/2017,,On Site,,,,,Approving,,,,,,,,,,,,,,,,,,,
,1,1378,,CPU,CPU-PC,HP,DX2810,PE 26766,SGH8470DC3,39972,,On Site,1378w0010_1,10.13.78.100,00-23-7D-16-63-B7,,Releasing/Supply Officer,3.25 GB,150.00 GB,51.92 GB,1,Windows XP,OR/CR,0,,,1,0,0,Ver 4.0,,,,,,
,1,1378,,Monitor,Monitor-LCD,HP, ,PE 28959,CNK8400JND, ,,On Site, ,,,,Releasing/Supply Officer, , , , , , , ,, , , , , ,,,,,,
,1,1378,,Other Peripherals,Keyboard, , ,Unreadable,Unreadable,,,On Site,,,,,Site Support,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Mouse,A4tech,,Unreadable,Unreadable,,,On Site,,,,,Site Support,,,,,,,,,,,,,,,,,,,
